Employee Code,Gender,Location,Designation,Qualification,Married,Age,Left,Reason,No of Yrs in Org,Total yrs of Exp,Sourcing Channel,Avg rating last 2yrs,Avg rating this yrs,No of Promotions,Satisfaction compensation,Satisfaction benefits,Satisfaction work life balance,Satisfaction learning opportunity,Satisfaction,Hygiene seating arrangement,Hygiene egronomics,Hygiene infrastructure,Sentiment existing processes,Sentiment recently launched policies,Team performanc goal orientation,Team performanc timely delivery,Team performanc managers interpersonal issues ,Transparency channels of feedback,Transparency communication across peers,Transparency communiction with superior,Transparency newly rolled out process,Challenging organizational environment,Curiosity or Skill-will,Control,Competitive  organizational environment,Appropriate recognition,Co-operative environment,Engagement score external,Engagement score Internal,Engagement,Retention case,Avoidable vs Unavoidable (attrition),Rehire in future,Sentiment towards org
E1,Male,Bangalore,RM1,BCOM,NO,24,0,Involuntary,0,1,Reference,NJ-16,NJ-16,0,4,4,2,4,3.5,3,4,4,5,4,2,1,2,4,4,5,2,4,5,4,4,4,2,3.38,3.78,3.58,NO,NA,NO,1
E2,Female,Mumbai,RM5,PGDM/MBA_Mkt,YES,45,0,Involuntary,7.1,29.8,Agency,4.3,NA,2,3,4,3,1,2.8,4,3,5,4,4,2,5,3,5,4,5,1,4,5,4,4,4,3,3.46,4.00,3.73,NO,NA,NO,2
E3,Female,Bangalore,RM2,PGDM/MBA_Mkt,NO,29,1,,1.4,4.6,Reference,NJ-15,3.56,0,4,5,5,4,4.5,5,4,5,5,4,4,5,1,4,5,5,3,5,5,2,5,1,3,4.24,3.44,3.84,,,,
E4,Male,NCR,RM2,PGDM/MBA_Mkt,NO,23,0,Location,1.8,5.2,IJP,NJ-15,NA,0,4,4,5,3,4.0,5,4,4,4,3,3,4,2,5,4,3,5,4,5,2,4,3,4,3.88,3.72,3.80,NO,NA,NO,1
E5,Male,Mumbai,RM4,PGDM/MBA_Mkt,NO,33,1,,5.1,17.9,Reference,4.4,3.57,1,4,4,5,4,4.3,4,4,4,5,3,4,4,4,4,4,3,2,4,3,4,4,4,4,3.90,3.78,3.84,,,,
E6,Male,Bangalore,RM3,PGDM/MBA_Mkt,YES,33,0,Better Prospects,3,9,Reference,4.2,NA,1,4,5,5,5,4.8,4,4,5,3,4,4,5,2,3,5,4,3,5,3,3,4,1,4,4.10,3.33,3.72,YES,UA,,4
E7,Female,Bangalore,RM2,PGDM/MBA_Mkt,YES,35,1,,3,6,IJP,4.1,3.98,0,4,5,3,3,3.8,5,4,4,5,4,2,4,5,2,4,4,4,5,4,4,4,4,5,3.87,4.28,4.07,,,,
E8,Female,Chennai,RM5,PGDM/MBA_Mkt,NO,28,1,,8,31.5,IJP,4.3,3.78,3,3,4,3,4,3.5,4,3,4,5,4,4,4,2,4,4,3,2,4,4,4,4,5,5,3.56,4.33,3.95,,,,
E9,Male,Bangalore,RM3,PGDM/MBA_Mkt,NO,30,0,Involuntary,3.5,9.4,IJP,4.3,NA,1,3,4,4,3,3.5,4,3,4,4,1,4,4,4,2,5,4,3,4,3,2,5,4,4,3.50,3.58,3.54,NO,NA,NO,1
E10,Male,Bangalore,RM1,BBA,YES,39,1,,0.3,2,IJP,NJ-16,NJ-16,0,4,4,4,5,4.3,4,4,4,3,5,4,4,2,1,4,4,2,4,4,4,4,2,4,3.66,3.67,3.66,,,,
